Sales_page_url;title
https://www.nobuna.com/product/yoast-seo-premium/;Yoast SEO Premium 6.3.1
https://www.nobuna.com/product/woocommerce-subscriptions/;WooCommerce Subscriptions 2.2.18
https://www.nobuna.com/product/yoast-local-seo-premium/;Yoast Local SEO Premium 6.3
